Ticker,Industry
GIL,Apparel Manufacturing
LPRO,Credit Services
TOWN,Banks - Regional
EB,Software - Application
ADTN,Communication Equipment
LBRDK,Telecom Services
TXN,Semiconductors
PGC,Banks - Regional
TCPC,Asset Management
RELX,Specialty Business Services
LLAP,Aerospace & Defense
SYRE,Biotechnology
AUST,Gold
PRAX,Biotechnology
ESGL,Waste Management
BRT,REIT - Residential
ARKO,Specialty Retail
RPAY,Software - Infrastructure
XNET,Software - Infrastructure
SKYX,Electrical Equipment & Parts
IAUX,Gold
ITRI,Scientific & Technical Instruments
SPB,Household & Personal Products
ANDE,Food Distribution
PTN,Biotechnology
RTO,Specialty Business Services
NTR,Agricultural Inputs
BTBT,Capital Markets
WRLD,Credit Services
ALIM,Drug Manufacturers - Specialty & Generic
WSFS,Banks - Regional
TCBP,Biotechnology
SOHO,REIT - Hotel & Motel
AEHR,Semiconductor Equipment & Materials
DGX,Diagnostics & Research
KAI,Specialty Industrial Machinery
ELEV,Biotechnology
UBER,Software - Application
WEYS,Footwear & Accessories
DNA,Biotechnology
PHX,Oil & Gas E&P
CERT,Health Information Services
PFBC,Banks - Regional
IBCP,Banks - Regional
ONFO,Internet Content & Information
CIM,REIT - Mortgage
WHLR,REIT - Retail
BIOR,Biotechnology
ANTE,Advertising Agencies
RBCAA,Banks - Regional
INTA,Software - Application
GRPH,Unknown
ENPH,Solar
TGLS,Building Materials
NTRA,Diagnostics & Research
AREC,Coking Coal
EPSN,Oil & Gas E&P
RPRX,Biotechnology
RCM,Health Information Services
TENX,Biotechnology
SCVL,Apparel Retail
VSTS,Rental & Leasing Services
UTZ,Packaged Foods
CATC,Banks - Regional
NRXP,Biotechnology
VIRI,Biotechnology
CETU,Shell Companies
TNC,Specialty Industrial Machinery
PAGS,Software - Infrastructure
MBRX,Biotechnology
CEPU,Utilities - Regulated Electric
PPIH,Building Products & Equipment
THCP,Shell Companies
AUR,Information Technology Services
ADV,Advertising Agencies
MPW,REIT - Healthcare Facilities
RFIL,Electrical Equipment & Parts
VALU,Financial Data & Stock Exchanges
PHM,Residential Construction
CHMI,REIT - Mortgage
ASRT,Drug Manufacturers - Specialty & Generic
EGY,Oil & Gas E&P
NCNO,Software - Application
LRE,Real Estate - Development
LYG,Banks - Regional
NMM,Marine Shipping
KLTR,Software - Application
SSNT,Software - Application
FEMY,Medical Instruments & Supplies
PSX,Oil & Gas Refining & Marketing
PNBK,Banks - Regional
DFH,Residential Construction
RIG,Oil & Gas Drilling
SUM,Building Materials
SOLO,Unknown
OKE,Oil & Gas Midstream
FLT,Unknown
ARES,Asset Management
O,REIT - Retail
ARMK,Specialty Business Services
CEAD,Farm & Heavy Construction Machinery
MITK,Software - Application
PEBO,Banks - Regional
AADI,Biotechnology
PD,Software - Application
GDDY,Software - Infrastructure
BRX,REIT - Retail
ERIC,Communication Equipment
RGLD,Gold
LGF.B,Unknown
EBAY,Internet Retail
BYFC,Banks - Regional
EVGR,Shell Companies
VRME,Security & Protection Services
DSGN,Biotechnology
CNSP,Biotechnology
FORM,Semiconductors
VCTR,Asset Management
TFSL,Banks - Regional
BN,Asset Management
HYPR,Medical Devices
CNVS,Entertainment
FCN,Consulting Services
RPHM,Biotechnology
CYBR,Software - Infrastructure
ACAB,Shell Companies
ROKU,Entertainment
SSYS,Computer Hardware
EPRT,REIT - Diversified
EXPD,Integrated Freight & Logistics
CCLP,Unknown
ULH,Trucking
BKKT,Software - Infrastructure
FLUT,Gambling
CURV,Apparel Retail
TKLF,Specialty Retail
USEG,Oil & Gas E&P
USNA,Packaged Foods
CMRE,Marine Shipping
HOLI,Electrical Equipment & Parts
EXC,Utilities - Regulated Electric
EVAX,Biotechnology
PEV,Auto Manufacturers
DOYU,Internet Content & Information
BCBP,Banks - Regional
HOLX,Medical Instruments & Supplies
HVT.A,Unknown
MWG,Rental & Leasing Services
FOA,Credit Services
VJET,Unknown
ATOM,Semiconductor Equipment & Materials
STEM,Software - Infrastructure
SRCE,Banks - Regional
AOSL,Semiconductors
TCJH,Capital Markets
CUBI,Banks - Regional
ANSS,Software - Application
CLST,Banks - Regional
RAYA,Electrical Equipment & Parts
POR,Utilities - Regulated Electric
ACXP,Biotechnology
SKYT,Semiconductors
GOGL,Marine Shipping
QIPT,Medical Devices
ZLS,Shell Companies
BHP,Other Industrial Metals & Mining
CVBF,Banks - Regional
LFT,REIT - Mortgage
EAR,Unknown
FULC,Biotechnology
QRHC,Waste Management
CLH,Waste Management
LWAY,Packaged Foods
INSP,Medical Devices
CREV,Auto Parts
NOG,Oil & Gas E&P
SKY,Residential Construction
USFD,Food Distribution
AS,Leisure
CSX,Railroads
FULT,Banks - Regional
GAMC,Shell Companies
AEY,Unknown
WMT,Discount Stores
SBUX,Restaurants
PRTS,Auto Parts
NTB,Banks - Diversified
HTBI,Banks - Regional
FCEL,Electrical Equipment & Parts
ASCA,Unknown
DWSN,Oil & Gas Equipment & Services
FMS,Medical Care Facilities
MPU,Entertainment
BATL,Oil & Gas E&P
INDO,Oil & Gas E&P
CME,Financial Data & Stock Exchanges
CVR,Tools & Accessories
PRG,Rental & Leasing Services
BMI,Scientific & Technical Instruments
NVIV,Unknown
ONEW,Specialty Retail
EAST,Beverages - Wineries & Distilleries
HTLD,Trucking
IVZ,Asset Management
SOGP,Internet Content & Information
PGTI,Unknown
DXYN,Textile Manufacturing
BGFV,Specialty Retail
HTGC,Asset Management
VINC,Biotechnology
GNE,Utilities - Regulated Electric
WEN,Restaurants
AXDX,Medical Devices
NJR,Utilities - Regulated Gas
GM,Auto Manufacturers
LNC,Insurance - Life
NU,Banks - Regional
CONN,Specialty Retail
KRT,Packaging & Containers
CHX,Oil & Gas Equipment & Services
LH,Diagnostics & Research
IMPP,Oil & Gas Midstream
MKFG,Computer Hardware
CRK,Oil & Gas E&P
PHYT,Shell Companies
THC,Medical Care Facilities
DDS,Department Stores
ESI,Specialty Chemicals
GECC,Asset Management
HSON,Staffing & Employment Services
RDN,Insurance - Specialty
GPS,Apparel Retail
NLSP,Biotechnology
COLL,Drug Manufacturers - Specialty & Generic
EXTR,Communication Equipment
BMRC,Banks - Regional
MGNI,Advertising Agencies
MITA,Shell Companies
TFFP,Biotechnology
CYTO,Biotechnology
CLDT,REIT - Hotel & Motel
BPTH,Biotechnology
MEDS,Pharmaceutical Retailers
SLM,Credit Services
QMCO,Computer Hardware
MDC,Unknown
FSI,Specialty Chemicals
CRL,Diagnostics & Research
MSSA,Shell Companies
VOYA,Financial Conglomerates
GNFT,Biotechnology
CABA,Biotechnology
HITI,Pharmaceutical Retailers
HIVE,Capital Markets
SAN,Banks - Diversified
LEXX,Biotechnology
GLDG,Gold
WSM,Specialty Retail
SCCO,Copper
LZB,"Furnishings, Fixtures & Appliances"
ULTA,Specialty Retail
MNSB,Banks - Regional
ADOC,Unknown
WIX,Software - Infrastructure
PT,Credit Services
SONN,Biotechnology
PCT,Pollution & Treatment Controls
GAME,Electronic Gaming & Multimedia
CKX,Oil & Gas E&P
CPTN,Scientific & Technical Instruments
YS,Biotechnology
ALGS,Biotechnology
SIGA,Drug Manufacturers - Specialty & Generic
COOK,"Furnishings, Fixtures & Appliances"
OPEN,Real Estate Services
GBNY,Banks - Regional
KRON,Biotechnology
MRO,Oil & Gas E&P
FKWL,Communication Equipment
ABOS,Biotechnology
TAP,Beverages - Brewers
PW,REIT - Specialty
VRCA,Biotechnology
GAN,Gambling
NSC,Railroads
NSTG,Medical Instruments & Supplies
ASUR,Software - Application
LUMN,Telecom Services
JT,Unknown
LQDT,Internet Retail
BGXX,Drug Manufacturers - Specialty & Generic
JRSH,Apparel Manufacturing
SMCI,Computer Hardware
NAMS,Biotechnology
UVV,Tobacco
TSP,Unknown
PLTK,Electronic Gaming & Multimedia
HPCO,Tobacco
CNGL,Shell Companies
EVOK,Drug Manufacturers - Specialty & Generic
JAGX,Biotechnology
LCNB,Banks - Regional
XBIO,Biotechnology
FLNG,Oil & Gas Midstream
NVEE,Engineering & Construction
LDTC,Software - Application
AVXL,Biotechnology
KMDA,Drug Manufacturers - Specialty & Generic
HPK,Oil & Gas E&P
BRID,Packaged Foods
BASE,Software - Infrastructure
JWN,Department Stores
CF,Agricultural Inputs
ICLR,Diagnostics & Research
MOBX,Semiconductors
XNCR,Biotechnology
AYTU,Drug Manufacturers - Specialty & Generic
EAF,Electrical Equipment & Parts
LASR,Semiconductors
ULY,Software - Application
STRO,Biotechnology
WPRT,Auto Parts
EQBK,Banks - Regional
IVAC,Specialty Industrial Machinery
DOV,Specialty Industrial Machinery
ZENV,Software - Application
FIX,Engineering & Construction
HAS,Leisure
PTPI,Drug Manufacturers - Specialty & Generic
ACVA,Auto & Truck Dealerships
INAB,Biotechnology
